Address,City,State,Zip_code,File Date,Neighborhood,Lat_long
900 Block of Oak  Street,San Francisco,CA,94117,05/03/2000,Hayes Valley,"(37.7735018157163, -122.434940936499)"
900 Block of Oak  Street,San Francisco,CA,94117,05/03/2000,Hayes Valley,"(37.7735018157163, -122.434940936499)"
600 Block of Hayes  Street,San Francisco,CA,94102,05/01/2000,Hayes Valley,"(37.7764132198632, -122.427099517756)"
600 Block of Hayes  Street,San Francisco,CA,94102,05/01/2000,Hayes Valley,"(37.7764132198632, -122.427099517756)"
700 Block of Castro  Street,San Francisco,CA,94114,04/27/2000,Castro/Upper Market,"(37.7564857976749, -122.434652830664)"
0 Block of Miguel  Street,San Francisco,CA,94115,04/27/2000,Glen Park,"(37.7391422234694, -122.429773232546)"
0 Block of Miguel  Street,San Francisco,CA,94115,04/27/2000,Glen Park,"(37.7391422234694, -122.429773232546)"
0 Block of Miguel  Street,San Francisco,CA,94115,04/27/2000,Glen Park,"(37.7391422234694, -122.429773232546)"
1100 Block of Kearny  Street,San Francisco,CA,94133,04/27/2000,North Beach,"(37.7981820773473, -122.405551072301)"
3200 Block of California  Street,San Francisco,CA,94118,04/27/2000,Presidio Heights,"(37.7872098592732, -122.447641497681)"
700 Block of Castro  Street,San Francisco,CA,94114,04/27/2000,Castro/Upper Market,"(37.7564857976749, -122.434652830664)"
3200 Block of California  Street,San Francisco,CA,94118,04/20/2000,Presidio Heights,"(37.7872098592732, -122.447641497681)"
3200 Block of California  Street,San Francisco,CA,94118,04/20/2000,Presidio Heights,"(37.7872098592732, -122.447641497681)"
3200 Block of California  Street,San Francisco,CA,94118,04/20/2000,Presidio Heights,"(37.7872098592732, -122.447641497681)"
3200 Block of California  Street,San Francisco,CA,94118,04/20/2000,Presidio Heights,"(37.7872098592732, -122.447641497681)"
3200 Block of California  Street,San Francisco,CA,94118,04/20/2000,Presidio Heights,"(37.7872098592732, -122.447641497681)"
800 Block of Chestnut  Street,San Francisco,CA,94133,04/13/2000,Russian Hill,"(37.8032958937771, -122.417342092043)"
800 Block of Haight  Street,San Francisco,CA,94117,04/12/2000,Haight Ashbury,"(37.7714276965429, -122.436220210579)"
800 Block of Haight  Street,San Francisco,CA,94117,04/12/2000,Haight Ashbury,"(37.7714276965429, -122.436220210579)"
1700 Block of Gough  Street,San Francisco,CA,94109,04/11/2000,Pacific Heights,"(37.7894646096535, -122.425587859593)"
1700 Block of Gough  Street,San Francisco,CA,94109,04/11/2000,Pacific Heights,"(37.7894646096535, -122.425587859593)"
